title,deck,date,reviewer,score,url
"SingStar","Adding an online video repository and an online store full of songs takes SingStar to exciting new heights.","2008-05-23 13:00:00","Jeff",4,"http://www.giantbomb.com/reviews/singstar-review/1900-1/"
"Haze","Haze ticks most of the boxes on the ""things a first-person shooter should have"" form, but doesn't do so in a particularly interesting way.","2008-05-20 17:00:00","Jeff",2,"http://www.giantbomb.com/reviews/haze-review/1900-2/"
"Metal Gear Solid 4: Guns of the Patriots","Metal Gear Solid 4 is a fitting coda to the series and the single best reason to own a PS3 so far.","2008-06-20 12:00:00","Brad",5,"http://www.giantbomb.com/reviews/metal-gear-solid-4-guns-of-the-patriots-review/1900-3/"
"Poker Smash","Poker Smash's name might fool you into thinking it's all chips, cards, and bluffing. But this puzzle game will take you by surprise with its sharp gameplay.","2008-02-29 12:00:00","Jeff",4,"http://www.giantbomb.com/reviews/poker-smash-review/1900-4/"
"Battlefield: Bad Company","Bad Company's pro-explosion agenda makes its solo and multiplayer components markedly better than they would be otherwise.","2008-07-06 12:00:00","Jeff",5,"http://www.giantbomb.com/reviews/battlefield-bad-company-review/1900-5/"
"LEGO Indiana Jones: The Original Adventures","Lego Indy is an endearing romp through the classic swashbuckling films, but the Lego gameplay's rough edges are starting to show.","2008-07-02 12:00:00","Brad",3,"http://www.giantbomb.com/reviews/lego-indiana-jones-the-original-adventures-review/1900-6/"
"Robert Ludlum's The Bourne Conspiracy","Robert Ludlum's The Bourne Conspiracy is a flashy action game that's sabotaged by a brief runtime and a lack of depth.","2008-07-02 12:00:00","Ryan",3,"http://www.giantbomb.com/reviews/robert-ludlums-the-bourne-conspiracy-review/1900-7/"
"Burnout Paradise","Burnout Paradise takes some risks with some of the series' most basic concepts, and the end result pays off surprisingly well.","2008-03-01 12:00:00","Jeff",5,"http://www.giantbomb.com/reviews/burnout-paradise-review/1900-8/"
"Professor Layton and the Curious Village","Professor Layton and the Curious Village is an outstanding mix of charm and logic that's likely to make a pretty deep impression on you.","2008-03-07 10:00:00","Jeff",5,"http://www.giantbomb.com/reviews/professor-layton-and-the-curious-village-review/1900-9/"
"Super Smash Bros. Brawl","Smash Bros. Brawl is probably at its best when enjoyed by a group of four friends, but solo players with an eye for Nintendo nostalgia aren't totally left out.","2008-03-13 15:00:00","Jeff",4,"http://www.giantbomb.com/reviews/super-smash-bros-brawl-review/1900-10/"
"Army of Two","If you're desperate for co-op play, Army of Two will satisfy. But the action is a bit too repetitive to keep you excited for a substantial length of time.","2008-03-16 20:00:00","Jeff",3,"http://www.giantbomb.com/reviews/army-of-two-review/1900-11/"
"Rocketmen: Axis of Evil","Rocketmen: Axis of Evil's co-op gives it potential, but the game doesn't move fast enough to deliver any lasting excitement.","2008-03-22 10:00:00","Jeff",2,"http://www.giantbomb.com/reviews/rocketmen-axis-of-evil-review/1900-12/"
"Bully: Scholarship Edition","Even a bundle of technical issues can't stop Bully: Scholarship Edition from letting you have a great time running amok on the Xbox 360","2008-03-26 13:00:00","Ryan",4,"http://www.giantbomb.com/reviews/bully-scholarship-edition-review/1900-13/"
"Tom Clancy's Rainbow Six: Vegas 2","Vegas 2 doesn't make huge changes to what you saw in the previous game, and the story can be hard to follow, but the action is as explosive as ever.","2008-03-27 13:00:00","Jeff",4,"http://www.giantbomb.com/reviews/tom-clancys-rainbow-six-vegas-2-review/1900-14/"
"Condemned 2: Bloodshot","Condemned 2: Bloodshot is the video-game equivalent of blunt-force trauma.","2008-03-27 16:00:00","Ryan",5,"http://www.giantbomb.com/reviews/condemned-2-bloodshot-review/1900-15/"
"TiQal","TiQal has its moments, but there are just too many other, better puzzle games on Xbox Live Arcade.","2008-03-31 11:00:00","Jeff",2,"http://www.giantbomb.com/reviews/tiqal-review/1900-16/"
"Viking: Battle for Asgard","Viking's got good ideas, but you'll see most of them in the first third of the story.","2008-04-01 14:00:00","Jeff",3,"http://www.giantbomb.com/reviews/viking-battle-for-asgard-review/1900-17/"
"Hot Shots Golf: Out of Bounds","It handles like an antique, and it's a little bit light on content, but solid online and an easy charm help keep Hot Shots Golf: Out of Bounds entertaining.","2008-04-03 18:00:00","Ryan",3,"http://www.giantbomb.com/reviews/hot-shots-golf-out-of-bounds-review/1900-18/"
"Mr. Driller Online","Show-stopping bugs and a general lack of content leave Mr. Driller Online gasping for air.","2008-04-07 18:00:00","Ryan",2,"http://www.giantbomb.com/reviews/mr-driller-online-review/1900-19/"
"Ikaruga","If you have a deep love for classic shooters, you should play Ikaruga.","2008-04-21 13:00:00","Jeff",4,"http://www.giantbomb.com/reviews/ikaruga-review/1900-20/"
"Rocky & Bullwinkle","While there's probably a good way to fit the world of Rocky & Bullwinkle into a WarioWare clone, this game doesn't pull it off.","2008-05-21 14:00:00","Jeff",2,"http://www.giantbomb.com/reviews/rocky-bullwinkle-review/1900-21/"
"Dark Sector","Dark Sector's got great-looking character models, but the slow and repetitive gameplay really holds it all back.","2008-04-25 15:00:00","Jeff",2,"http://www.giantbomb.com/reviews/dark-sector-review/1900-22/"
"NBA Ballers: Chosen One","NBA Ballers: Chosen One looks flashy at first glance, but you never really feel like you're doing much more than triggering a series of animations.","2008-04-28 10:00:00","Jeff",2,"http://www.giantbomb.com/reviews/nba-ballers-chosen-one-review/1900-23/"
"Gran Turismo 5 Prologue","It provides a promising glimpse into the future of Gran Turismo, but the content doesn't justify the $39.99 price tag.","2008-05-05 16:00:00","Ryan",3,"http://www.giantbomb.com/reviews/gran-turismo-5-prologue-review/1900-24/"
"Grand Theft Auto IV","Niko Bellic is one of the most human protagonists to ever appear in a video game, and his trials and tribulations make GTA IV absolutely unforgettable.","2008-05-05 16:00:00","Jeff",5,"http://www.giantbomb.com/reviews/grand-theft-auto-iv-review/1900-25/"
"Mario Kart Wii","Mario Kart Wii lives up to series expectations in the safest ways imaginable.","2008-05-07 16:00:00","Ryan",3,"http://www.giantbomb.com/reviews/mario-kart-wii-review/1900-26/"
"Target: Terror","Target: Terror looks like it was a lot of fun to make, but that doesn't mean it was a lot of fun to play.","2008-05-07 17:00:00","Jeff",2,"http://www.giantbomb.com/reviews/target-terror-review/1900-27/"
"Boom Blox","You might not enjoy every single game type that Boom Blox offers, but most of them are a lot of fun, especially if you're playing with friends.","2008-05-12 18:00:00","Jeff",4,"http://www.giantbomb.com/reviews/boom-blox-review/1900-28/"
"Defend Your Castle","Defend Your Castle's charming visuals and low price tag help compensate for some simple gameplay.","2008-05-18 15:00:00","Ryan",3,"http://www.giantbomb.com/reviews/defend-your-castle-review/1900-29/"
"Penny Arcade Adventures: On the Rain-Slick Precipice of Darkness - Episode One","Penny Arcade Adventures: On the Rain-Slick Precipice of Darkness is as entertaining as its title is long.","2008-05-22 18:00:00","Ryan",4,"http://www.giantbomb.com/reviews/penny-arcade-adventures-on-the-rain-slick-precipic/1900-30/"
"SNK Arcade Classics V.1","It's hard to consider some of these early Neo Geo releases as ""classics,"" but at least there's a good variety of game styles in SNK Arcade Classics Vol. 1.","2008-06-10 16:00:00","Jeff",3,"http://www.giantbomb.com/reviews/snk-arcade-classics-v1-review/1900-31/"
"Wolf of the Battlefield: Commando 3","Commando 3 makes a pretty good first impression, but the rest of the game doesn't offer enough excitement to carry you through to the end.","2008-06-17 17:00:00","Jeff",2,"http://www.giantbomb.com/reviews/wolf-of-the-battlefield-commando-3-review/1900-32/"
"Wii Fit","Wii Fit's simple workouts run out of charm pretty quickly, but for some, the subtle nudge to get on a better workout plan will be worth the price of admission.","2008-06-24 13:00:00","Jeff",3,"http://www.giantbomb.com/reviews/wii-fit-review/1900-33/"
"Soulcalibur","Soul Calibur gets the fighting right, but without online play or the single-player mission mode that made it fun to play alone, this XBLA re-release is a flimsy package.","2008-07-25 15:00:00","Jeff",2,"http://www.giantbomb.com/reviews/soulcalibur-review/1900-34/"
"Dragon Ball Z: Burst Limit","Dragon Ball Z: Burst Limit is by far and away the best looking Dragon Ball Z game available today. Unfortunately, the gameplay doesn't match the visuals in terms of recreating the action and appeal of the source material.","2008-07-28 11:00:00","Vinny",3,"http://www.giantbomb.com/reviews/dragon-ball-z-burst-limit-review/1900-35/"
"Geometry Wars: Retro Evolved 2","Geometry Wars: Retro Evolved 2 adds new modes and elements that make it significantly better than both its predecessor and the scads of dual-joystick shooters that were released in its wake.","2008-07-30 16:00:00","Jeff",5,"http://www.giantbomb.com/reviews/geometry-wars-retro-evolved-2-review/1900-36/"
"Sid Meier's Civilization Revolution","It's not a seamless transition, but Civilization Revolution is a mostly successful effort to bring Sid Meier's celebrated strategy series to consoles.","2008-07-31 23:00:00","Ryan",4,"http://www.giantbomb.com/reviews/sid-meiers-civilization-revolution-review/1900-37/"
"Guitar Hero: Aerosmith","Even if you are a hardcore Aerosmith fan, this game's short and spotty track list makes it hard to recommend.","2008-08-01 18:00:00","Ryan",2,"http://www.giantbomb.com/reviews/guitar-hero-aerosmith-review/1900-38/"
"Unreal Tournament 3","Unreal Tournament 3 is a competent Xbox 360 shooter that can be exciting and very fast-paced, but it occasionally feels like some kind of creepy history lesson on the way games used to be.","2008-08-06 13:00:00","Jeff",3,"http://www.giantbomb.com/reviews/unreal-tournament-3-review/1900-39/"
"Soulcalibur IV","Soulcalibur IV's sharp fighting is offset by a dull set of single-player modes and lame guest characters.","2008-08-07 15:00:00","Jeff",3,"http://www.giantbomb.com/reviews/soulcalibur-iv-review/1900-40/"
"Braid","Braid asks that you forget everything you know about time.","2009-11-25 08:00:00","Ryan",5,"http://www.giantbomb.com/reviews/braid-review/1900-41/"
"Strong Bad's Cool Game for Attractive People Episode 1: Homestar Ruiner","Strong Bad cordially invites you to have a giant slice of his style.","2008-08-13 17:00:00","Ryan",3,"http://www.giantbomb.com/reviews/strong-bads-cool-game-for-attractive-people-episod/1900-42/"
"Bionic Commando Rearmed","Bionic Commando: Rearmed is a superb remake that should appeal to old and new fans of the NES classic.","2008-08-15 15:00:00","Jeff",5,"http://www.giantbomb.com/reviews/bionic-commando-rearmed-review/1900-43/"
"Fable II Pub Games","A crappy gambling game that also doubles as a parable about the dangers of downloadable content.","2008-08-18 16:00:00","Ryan",1,"http://www.giantbomb.com/reviews/fable-ii-pub-games-review/1900-44/"
"Too Human","Too Human has a unique setting and some compelling ideas, but it doesn't offer enough variety to stay fresh from start to finish.","2008-08-18 18:00:00","Jeff",3,"http://www.giantbomb.com/reviews/too-human-review/1900-45/"
"Space Siege","This click-happy sci-fi dungeon crawler is neither aggressively bad nor especially remarkable. In other words, it's OK.","2008-08-21 14:00:00","Brad",3,"http://www.giantbomb.com/reviews/space-siege-review/1900-46/"
"1942: Joint Strike","1942: Joint Strike is a decent shooter that offers some replay value--but only if you're into moving up online leaderboards.","2008-08-20 14:00:00","Jeff",3,"http://www.giantbomb.com/reviews/1942-joint-strike-review/1900-47/"
"Galaga Legions","Galaga Legions isn't a great Galaga sequel, but it's a decent space shooter with some interesting ideas.","2008-08-25 11:00:00","Jeff",3,"http://www.giantbomb.com/reviews/galaga-legions-review/1900-48/"
